id,name,categ_id/id,type,purchase_ok,sale_ok,rental,list_price,uom_id/id,uom_po_id/id
opensim.product_template_1_d2699c59,JBL JRX 212,odooloc.product_category_18_ndd7j228,Stockable Product,True,True,True,200,product.product_uom_unit,product.product_uom_unit
opensim.product_template_4_4d32760e,JBL PRX 412M,odooloc.product_category_18_ndd7j228,Stockable Product,True,True,True,450,product.product_uom_unit,product.product_uom_unit
opensim.product_template_2_cdefd4ce,B1520 PRO - BEHRINGER,odooloc.product_category_18_ndd7j228,Stockable Product,True,True,True,280,product.product_uom_unit,product.product_uom_unit
opensim.product_template_3_d02dee05,CBR10 - YAMAHA,odooloc.product_category_18_ndd7j228,Stockable Product,True,True,True,250,product.product_uom_unit,product.product_uom_unit
opensim.product_template_5_87195457,F1 MODÈLE 812 - BOSE,odooloc.product_category_18_ndd7j228,Stockable Product,True,True,True,990,product.product_uom_unit,product.product_uom_unit
opensim.product_template_6_f9d7e957,L5 115 FA LINEAR 5 - HK AUDIO,odooloc.product_category_18_ndd7j228,Stockable Product,True,True,True,985,product.product_uom_unit,product.product_uom_unit
opensim.product_template_7_575bfa56,MG16 - YAMAHA,odooloc.product_category_10_5f8f81be,Stockable Product,True,True,True,400,product.product_uom_unit,product.product_uom_unit
opensim.product_template_8_e82fb392,PX8 - YAMAHA,odooloc.product_category_13_2a73e961,Stockable Product,True,True,True,750,product.product_uom_unit,product.product_uom_unit
opensim.product_template_9_b9fe04b3,PX3 - YAMAHA,odooloc.product_category_13_2a73e961,Stockable Product,True,True,True,550,product.product_uom_unit,product.product_uom_unit
