"id","name","usage","location_id/id"
"odooloc.stock_location_20_ba4756e5","Maintenance","Internal Location","odooloc.warehouse00"
"odooloc.stock_location_22_16d9e905","Checking","Internal Location","odooloc.stock_location_20_ba4756e5"
"odooloc.stock_location_21_e5b83f1f","Repairs","Internal Location","odooloc.stock_location_20_ba4756e5"
"odooloc.stock_location_23_f2aacad4","Picking zone","Internal Location","odooloc.warehouse00"
"odooloc.stock_location_24_faae8210","IN","Internal Location","odooloc.stock_location_23_f2aacad4"
"odooloc.stock_location_25_718cc8a4","OUT","Internal Location","odooloc.stock_location_23_f2aacad4"
"odooloc.stock_location_18_2fa1fcf7","Receipts","Internal Location","odooloc.warehouse00"
"odooloc.stock_location_26_j3akd45n","Storage","Internal Location","odooloc.warehouse00"
"odooloc.stock_location_19_31c5e239","Rentable products","Internal Location","odooloc.stock_location_26_j3akd45n"
